coordination,base_planner,problem_id,difficulty,trial_seed,success,planner_solved,audit_passed,planning_time_seconds,path_makespan_seconds,path_mean_agent_time_seconds,path_cost,tree_nodes,high_level_nodes,iterations,checked_waypoints,error
kcbs,flow,1,medium,2026082211,False,False,False,30.015756799999508,,,,2285,1,174,70026,
kcbs,flow,1,medium,2026082212,False,False,False,30.00089470000239,,,,2560,1,0,73233,
kcbs,flow,1,medium,2026082213,False,False,False,30.002225199998065,,,,2465,1,959,77126,
kcbs,flow,1,medium,2026082214,False,False,False,29.998400700002094,,,,2358,1,0,72609,
kcbs,flow,1,medium,2026082215,False,False,False,29.99403490000259,,,,2019,1,906,67377,
kcbs,flow,1,medium,2026082216,True,True,True,8.722310500001186,6.86,4.285,17.14,457,1,458,17188,
kcbs,flow,1,medium,2026082217,False,False,False,30.000948900000367,,,,2269,1,367,70081,
kcbs,flow,1,medium,2026082218,False,False,False,30.002725300000748,,,,1268,3,1486,68282,
kcbs,flow,1,medium,2026082219,False,False,False,30.051340599995456,,,,2351,1,0,69261,
kcbs,flow,2,hard,2026082200,False,False,False,30.10045220000029,,,,2157,1,647,72466,
kcbs,flow,2,hard,2026082201,False,False,False,30.001057200002833,,,,3302,1,517,94723,
kcbs,flow,2,hard,2026082202,False,False,False,30.005177300001378,,,,3606,1,0,100806,
kcbs,flow,2,hard,2026082203,False,False,False,30.037408299998788,,,,3062,1,16,92756,
kcbs,flow,2,hard,2026082204,False,False,False,30.014311899998575,,,,2936,1,1891,88854,
kcbs,flow,2,hard,2026082205,False,False,False,30.001769199996488,,,,3110,1,14,92469,
kcbs,flow,2,hard,2026082206,False,False,False,30.046493000001647,,,,2240,1,7,71861,
kcbs,flow,2,hard,2026082207,False,False,False,30.006866499999887,,,,1753,3,1983,66714,
kcbs,flow,2,hard,2026082208,False,False,False,29.9965688999946,,,,2147,1,0,68413,
kcbs,flow,2,hard,2026082209,False,False,False,30.002978800002893,,,,2192,1,0,70034,
kcbs,flow,2,hard,2026082210,False,False,False,30.041409999997995,,,,2674,1,0,75085,
